rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
190,"spotify:track:55Eo6NDkVhSRBonrT16kXM","Cloud 5, Dangrangto","Đến Đây Bên Anh","Yin Yang Media",66,-1,58,"163267"
191,"spotify:track:2RkZ5LkEzeHGRsmDqKwmaJ","Alex Warren","Ordinary","Atlantic Records",38,180,16,"162917"
192,"spotify:track:2SykQzXuFSeprST1uDjj1m","AMEE","trời giấu trời mang đi","Yin Yang Media",52,-1,86,"162539"
193,"spotify:track:5cF0dROlMOK5uNZtivgu50","Charlie Puth","Attention","Artist Partner",21,197,202,"161291"
194,"spotify:track:3ZbZtdEw9U0uZW4tZItIwq","RHYDER, CoolKid, BAN","Chịu Cách Mình Nói Thua","RHYDER",6,-1,121,"161040"
195,"spotify:track:4wJ5Qq0jBN4ajy7ouZIV1c","ROSÉ, Bruno Mars","APT.","Atlantic Records",2,-1,69,"161000"
196,"spotify:track:5zXCoF69UxPNLrpar8Rk7e","Nguyễn Hùng","Còn Gì Đẹp Hơn - Mưa Đỏ Original Soundtrack","Universal Music Indochina Distributed Labels",2,-1,34,"160543"
197,"spotify:track:65st6HfPZyxq1RNTvqSIos","Wren Evans, itsnk","Thu Đợi","Universal Music Indochina Distributed Labels",6,183,21,"159538"
198,"spotify:track:1uiqiUzPn2EJpvHDy84PEZ","EM XINH ""SAY HI"", Orange, Mỹ Mỹ, 52Hz, Châu Bùi, Pháp Kiều","KHÔNG ĐAU NỮA RỒI","Em Xinh Say Hi",2,200,46,"159085"
199,"spotify:track:2OSjnBrQQ0CNKxIUM2GQDk","JustaTee, Binz","Crying Over You","NGUYEN THANH TUAN",199,-1,1,"158518"
200,"spotify:track:2kt7udEZmN2kj1Jsl118zY","Wxrdie","0 AI NGHĨ","M Music Records",92,-1,33,"157970"
